ID_empleado,Nombre,Apellido,Correo,Teléfono,fecha_contracion,sueldo,ID_departamento
137,Renske,Ladwig,LDORAN@HOTMAIL.COM,650.121.1234,1987-07-24,3600,50
138,Stephen,Stiles,Stiles@gmail.com,650.121.2034,1987-07-25,3200,50
139,John,Seo,Seo@gmail.com,650.121.2019,1987-07-26,2700,50
140,Joshua,Patel,SANDE@HOTMAIL.COM,650.121.1834,1987-07-27,2500,50
141,Trenna,Rajs,ABANDA@HOTMAIL.COM,650.121.8009,1987-07-28,3500,50
142,Curtis,Davies,EBATES@HOTMAIL.COM,650.121.2994,1987-07-29,3100,50
143,Randall,Matos,SKUMAR@HOTMAIL.COM,650.121.2874,1987-07-30,2600,50
144,Peter,Vargas,EABEL@HOTMAIL.COM,650.121.2004,1987-07-31,2500,50
145,John,Russell,Russell@gmail.com,011.44.1344.429268,1987-08-01,14000,80
146,Karen,Partners,JTAYLOR@HOTMAIL.COM,011.44.1344.467268,1987-08-02,13500,80
147,Alberto,Errazuriz,KGRANT@HOTMAIL.COM,011.44.1344.429278,1987-08-03,12000,80
148,Gerald,Cambrault,WTAYLOR@HOTMAIL.COM,011.44.1344.619268,1987-08-04,11000,80
149,Eleni,Zlotkey,Zlotkey@gmail.com,011.44.1344.429018,1987-08-05,10500,80
150,Peter,Tucker,Tucker@gmail.com,011.44.1344.129268,1987-08-06,10000,80
151,David,Bernstein,Bernstein@gmail.com,011.44.1344.345268,1987-08-07,9500,80
152,Peter,Hall,ABULL@HOTMAIL.COM,011.44.1344.478968,1987-08-08,9000,80
153,Christopher,Olsen,Olsen@gmail.com,011.44.1344.498718,1987-08-09,8000,80
154,Nanette,Cambrault,TGATES@HOTMAIL.COM,011.44.1344.987668,1987-08-10,7500,80
155,Oliver,Tuvault,SMCCAIN@HOTMAIL.COM,011.44.1344.486508,1987-08-11,7000,80
156,Janette,King,King@gmail.com,011.44.1345.429268,1987-08-12,10000,80
157,Patrick,Sully,Sully@gmail.com,011.44.1345.929268,1987-08-13,9500,80
158,Allan,McEwen,JWHALEN@HOTMAIL.COM,011.44.1345.829268,1987-08-14,9000,80
159,Lindsey,Smith,Smith@gmail.com,011.44.1345.729268,1987-08-15,8000,80
160,Louise,Doran,PFAY@HOTMAIL.COM,011.44.1345.629268,1987-08-16,7500,80
161,Sarath,Sewall,SMAVRIS@HOTMAIL.COM,011.44.1345.529268,1987-08-17,7000,80
162,Clara,Vishney,Vishney@gmail.com,011.44.1346.129268,1987-08-18,10500,80
163,Danielle,Greene,Greene@gmail.com,011.44.1346.229268,1987-08-19,9500,80
164,Mattea,Marvins,NKOCHHAR@HOTMAIL.COM,011.44.1346.329268,1987-08-20,7200,80
165,David,Lee,Lee@gmail.com,011.44.1346.529268,1987-08-21,6800,80
166,Sundar,Ande,LDEHAAN@HOTMAIL.COM,011.44.1346.629268,1987-08-22,6400,80
167,Amit,Banda,AHUNOLD@HOTMAIL.COM,011.44.1346.729268,1987-08-23,6200,80
168,Lisa,Ozer,Ozer@gmail.com,011.44.1343.929268,1987-08-24,11500,80
169,Harrison,Bloom,Bloom@gmail.com,011.44.1343.829268,1987-08-25,10000,80
170,Tayler,Fox,Fox@gmail.com,011.44.1343.729268,1987-08-26,9600,80
171,William,Smith,Smith@gmail.com,011.44.1343.629268,1987-08-27,7400,80
172,Elizabeth,Bates,VPATABAL@HOTMAIL.COM,011.44.1343.529268,1987-08-28,7300,80
173,Sundita,Kumar,DFAVIET@HOTMAIL.COM,011.44.1343.329268,1987-08-29,6100,80
174,Ellen,Abel,DRAPHEAL@HOTMAIL.COM,011.44.1644.429267,1987-08-30,11000,80
175,Alyssa,Hutton,SBAIDA@HOTMAIL.COM,011.44.1644.429266,1987-08-31,8800,80
176,Jonathon,Taylor,STOBIAS@HOTMAIL.COM,011.44.1644.429265,1987-09-01,8600,80
177,Jack,Livingston,Livingston@gmail.com,011.44.1644.429264,1987-09-02,8400,80
178,Kimberely,Grant,AFRIPP@HOTMAIL.COM,011.44.1644.429263,1987-09-03,7000,
179,Charles,Johnson,Johnson@gmail.com,011.44.1644.429262,1987-09-04,6200,80
180,Winston,Taylor,PKAUFLIN@HOTMAIL.COM,650.507.9876,1987-09-05,3200,50
181,Jean,Fleaur,SVOLLMAN@HOTMAIL.COM,650.507.9877,1987-09-06,3100,50
182,Martha,Sullivan,JNAYER@HOTMAIL.COM,650.507.9878,1987-09-07,2500,50
183,Girard,Geoni,Geoni@gmail.com,650.507.9879,1987-09-08,2800,50
184,Nandita,Sarchand,SMARKLE@HOTMAIL.COM,650.509.1876,1987-09-09,4200,50
185,Alexis,Bull,JAMRLOW@HOTMAIL.COM,650.509.2876,1987-09-10,4100,50
186,Julia,Dellinger,Dellinger@gmail.com,650.509.3876,1987-09-11,3400,50
187,Anthony,Cabrio,JMALLIN@HOTMAIL.COM,650.509.4876,1987-09-12,3000,50
188,Kelly,Chung,Chung@gmail.com,650.505.1876,1987-09-13,3800,50
189,Jennifer,Dilly,Dilly@gmail.com,650.505.2876,1987-09-14,3600,50
190,Timothy,Gates,HPHILTAN@HOTMAIL.COM,650.505.3876,1987-09-15,2900,50
191,Randall,Perkins,Perkins@gmail.com,650.505.4876,1987-09-16,2500,50
192,Sarah,Bell,Bell@gmail.com,650.501.1876,1987-09-17,4000,50
193,Britney,Everett,Everett@gmail.com,650.501.2876,1987-09-18,3900,50
194,Samuel,McCain,JPATEL@HOTMAIL.COM,650.501.3876,1987-09-19,3200,50
195,Vance,Jones,Jones@gmail.com,650.501.4876,1987-09-20,2800,50
196,Alana,Walsh,CDAVIES@HOTMAIL.COM,650.507.9811,1987-09-21,3100,50
197,Kevin,Feeney,Feeney@gmail.com,650.507.9822,1987-09-22,3000,50
198,Donald,OConnell,OConnell@gmail.com,650.507.9833,1987-09-23,2600,50
199,Douglas,Grant,RMATOS@HOTMAIL.COM,650.507.9844,1987-09-24,2600,50
200,Jennifer,Whalen,KPARTNER@HOTMAIL.COM,515.123.4444,1987-09-25,4400,10
201,Michael,Hartstein,AERRAZUR@HOTMAIL.COM,515.123.5555,1987-09-26,13000,20
202,Pat,Fay,PHALL@HOTMAIL.COM,603.123.6666,1987-09-27,6000,20
203,Susan,Mavris,AMCEWEN@HOTMAIL.COM,515.123.7777,1987-09-28,6500,40
204,Hermann,Baer,LDORAN@HOTMAIL.COM,515.123.8888,1987-09-29,10000,70
205,Shelley,Higgins,Higgins@gmail.com,515.123.8080,1987-09-30,12000,110
206,William,Gietz,Gietz@gmail.com,515.123.8181,1987-10-01,8300,110
